Release_Date,Production_Budget,Worldwide_Gross
1997-02-28,35000000,65303052
1997-02-28,35000000,2221994
1997-02-28,3000000,4109095
1997-03-10,27000000,60527873
1997-03-14,10000000,12554569
1997-03-21,45000000,302710615
1997-03-21,20000000,35450113
1997-03-26,90000000,140900000
1997-03-26,32000000,3588602
1997-03-28,250000,743216
1997-04-04,90000000,169400000
1997-04-04,250000,15155095
1997-04-18,42000000,4408420
1997-04-18,3000000,4002884
1997-04-25,90000000,120100000
1997-05-03,300000,42735
1997-05-12,10000000,225933435
1997-05-22,75000000,618638999
1997-06-06,80000000,224117573
1997-06-08,12000000,14010363
1997-06-13,110000000,150468000
1997-06-13,70000000,250700000
1997-06-13,2700000,15600000
1997-06-20,125000000,238317814
1997-06-20,46000000,298923419
1997-06-20,4000000,12836
1997-06-20,1000000,542909
1997-06-27,80000000,241200000
1997-07-02,115000000,178200000
1997-07-11,100000000,121100000
1997-07-11,50000000,10561038
1997-07-11,5000000,14843425
1997-07-16,55000000,174463257
1997-07-18,25000000,64594061
1997-07-25,85000000,315268353
1997-07-31,40000000,87949859
1997-08-08,80000000,142783718
1997-08-10,70000000,131445884
1997-08-13,3500000,257938649
1997-08-15,60000000,26673242
1997-08-15,16000000,1686429
1997-08-15,15000000,63706632
1997-08-22,50000000,48169156
1997-08-22,25000000,41076865
1997-08-22,450000,450349
1997-08-24,26000000,5000
1997-09-05,95000000,263900000
1997-09-05,85000000,35681080
1997-09-19,35000000,126204977
1997-09-19,35000000,83226569
1997-09-26,50000000,62967368
1997-09-26,18000000,16011975
1997-09-26,7500000,43492389
1997-10-01,60000000,33956608
1997-10-01,55000000,11532774
1997-10-10,15000000,43111725
1997-10-10,5000000,7951247
1997-10-17,57000000,153007424
1997-10-17,17000000,125250091
1997-10-24,36000000,12532777
1997-10-31,38000000,6504442
1997-10-31,12000000,220175
1997-11-04,45000000,136998907
1997-11-04,15000000,31070412
1997-11-04,12000,413802
1997-11-07,90000000,165900000
1997-11-07,28000000,8165213
1997-11-14,60000000,159356941
1997-11-14,53000000,139801290
1997-11-14,20000000,13801755
1997-11-21,40000000,45916769
1997-11-21,35000000,25078937
1997-11-21,30000000,51327406
1997-11-26,80000000,177993801
1997-11-26,60000000,160700000
1997-12-09,50000000,80369970
1997-12-12,40000000,58250151
1997-12-12,24000000,101363301
1997-12-12,20000000,10686841
1997-12-17,5000000,21277770
1997-12-19,200000000,2207615668
1997-12-19,110000000,339504276
1997-12-19,38000000,61894591
1997-12-24,50000000,314111923
1997-12-25,80000000,20841123
1997-12-25,28000000,5686694
1997-12-25,15000000,64252038
1997-12-25,12000000,74727492
1997-12-31,12500000,1612957
1998-01-05,25000000,22411948
1998-01-05,4000000,302204
1998-01-05,2300000,574838
1998-01-07,140000000,554600000
1998-01-16,70000000,19870567
1998-01-16,8000000,17394881
1998-01-16,2650000,16556
1998-01-23,25000000,56042592
1998-01-30,45000000,11203026
1998-01-30,5000000,2080693
1998-02-10,80000000,71485043
1998-02-10,60000000,152457863
1998-02-10,17000000,30331165
1998-02-13,73000000,50168294
1998-02-13,29000000,54045832
1998-02-13,500000,367582
1998-02-20,68000,33598
1998-02-27,27000000,27257061
1998-02-27,10000000,45779
1998-03-04,80000000,136047317
1998-03-04,60000000,32983332
1998-03-04,15000000,11156471
1998-03-04,10000000,13835130
1998-03-13,35000000,56968169
1998-03-13,7000000,306715
1998-03-20,65000000,39017984
1998-03-20,20000000,55576699
1998-03-20,11900000,48856
1998-03-20,6000000,31716953
1998-03-27,27000000,10341093
1998-03-27,24000000,4356126
1998-03-27,20000000,26146072
1998-03-27,5000000,143273
1998-03-27,4500000,713413
1998-04-09,35000000,10319915
1998-04-12,20000000,37226218
1998-04-12,6000000,21787233
1998-04-15,2000000,72544
1998-04-17,15000000,29145924
1998-04-24,13000000,27066941
1998-04-24,6000000,58809149
1998-04-24,1000000,2315026
1998-05-06,60000000,264118201
1998-05-08,17000000,55041738
1998-05-15,60000000,186883563
1998-05-15,40000000,38172500
1998-05-15,30000000,29203383
1998-05-15,2000000,539961
1998-05-19,125000000,376000000
1998-05-22,18500000,13711903
1998-05-27,3500000,10317779
1998-05-29,30000000,81529000
1998-06-02,30000000,19035741
1998-06-03,20000000,15055091
1998-06-03,15000000,46189568
1998-06-03,4030000,2542264
1998-06-11,70000000,116625798
1998-06-11,25000000,82150642
1998-06-11,23000000,190191646
1998-06-11,9000000,4313644
1998-06-11,3500000,6451628
1998-06-19,90000000,303500000
1998-06-19,66000000,189176423
1998-06-19,650000,2301777
1998-06-26,71500000,294156605
1998-06-26,48000000,77562568
1998-06-26,2000000,7756617
1998-06-26,1500000,2380606
1998-07-08,73000000,103891409
1998-07-08,1000000,21210
1998-07-08,300000,10876
1998-07-15,22000000,360099999
1998-07-17,65000000,233700000
1998-07-22,55000000,1147784
1998-07-24,65000000,485035085
1998-07-24,15000000,19014238
1998-07-24,10000000,30143795
1998-07-29,50000000,49105766
1998-07-31,26000000,65705772
1998-08-04,5000000,23047939
1998-08-05,80000000,349464664
1998-08-05,13000000,8064972
1998-08-14,60000000,48585416
1998-08-14,20000000,37672944
1998-08-14,10000000,244465
1998-08-14,5000000,5502773
1998-08-21,45000000,131237688
1998-08-21,14000000,15064948
1998-08-21,1000000,3465703
1998-08-28,13000000,16757163
1998-08-28,250000,203134
1998-09-01,19000000,8123860
1998-09-10,60000000,12069719
1998-09-10,1300000,1647780
1998-09-10,1000000,1087521
1998-09-10,100000,6121582
1998-09-18,35000000,245300000
1998-09-18,30000000,26708196
1998-09-18,2000000,134624
1998-09-25,55000000,70692101
1998-09-25,14000000,72571864
1998-09-25,8000000,2256606
1998-09-25,1000000,22434
1998-10-04,55000000,198750909
1998-10-07,140000000,285400000
1998-10-07,40000000,71743823
1998-10-07,68000,4678513
1998-10-16,60000000,68336997
1998-10-16,53000000,22852487
1998-10-16,25000000,50692188
1998-10-16,3000000,5746453
1998-10-23,75000000,14623082
1998-10-23,1000000,627287
1998-10-30,20000000,20268825
1998-10-30,12000000,12905901
1998-10-30,10000000,6719864
1998-11-09,25000000,780326
1998-11-09,20000000,18310591
1998-11-09,12000000,22921898
1998-11-09,300000,373615
1998-11-09,250000,8969065
1998-11-12,70000000,117800000
1998-11-12,50000000,34645374
1998-11-12,26000000,279500000
1998-11-12,17000000,16316273
1998-11-12,10000000,19080435
1998-11-13,85000000,44650003
1998-11-13,24000000,40020622
1998-11-20,85000000,250649836
1998-11-20,45000000,363095319
1998-11-20,28000000,140894685
1998-11-20,12000000,6200000
1998-11-20,3000000,55193251
1998-11-20,2900000,17006158
1998-11-25,80000000,69131860
1998-11-25,15000000,10513979
1998-11-25,10000000,21094974
1998-12-06,80000000,164800000
1998-12-06,13000000,10020081
1998-12-06,10000000,25358996
1998-12-06,8000000,146083
1998-12-18,65000000,250800000
1998-12-18,60000000,218613188
1998-12-23,52000000,97709034
1998-12-25,80000000,50632037
1998-12-25,60000000,56709981
1998-12-25,50000000,202173000
1998-12-25,50000000,159745279
1998-12-25,15000000,40283321
1998-12-25,10000000,5045359
1999-01-09,34000000,11263966
1999-01-09,7000000,7824358
1999-01-10,48000000,107752036
1999-01-10,28000000,8891623
1999-01-10,17000000,11634458
1999-01-10,8000000,22591451
1999-01-10,1700000,2891228
1999-01-15,75000000,30626690
1999-01-15,40000000,22365133
1999-01-15,30000000,12017369
1999-01-15,16000000,54294169
1999-01-15,1600000,2627795
1999-01-22,30000000,4967493
1999-01-22,180000,1628579
1999-01-29,10000000,63465522
1999-02-04,40000000,28544120
1999-02-04,6000,240495
1999-02-07,22000000,19288130
1999-02-07,600000,85343
1999-02-19,10000000,12179708
1999-02-19,3000000,3076820
1999-02-26,40000000,96398826
1999-02-26,6000000,6852450
1999-02-26,66000,602920
1999-03-12,23000000,10660147
1999-03-19,12000000,2062406
1999-03-19,1000000,5494
1999-03-26,60000000,35319689
1999-03-26,14000000,4741987
1999-03-26,5000000,19421271
1999-03-26,4000000,64359
1999-03-31,65000000,463517383
1999-03-31,13000000,60414025
1999-04-06,55000000,34105207
1999-04-06,8300000,2598224
1999-04-06,5000000,99147
1999-04-08,50000000,31333917
1999-04-08,13000000,6276869
1999-04-08,3000000,101773
1999-04-16,75000000,73521587
1999-04-23,33000000,8408835
1999-04-23,20700000,2840417
1999-04-23,14000000,6552255
1999-04-23,8500000,17202854
1999-04-30,66000000,211700000
1999-04-30,15000000,4023741
1999-04-30,2000000,1152411
1999-05-02,50000000,161626121
1999-05-02,6000000,4398989
1999-05-03,30000000,176885658
1999-05-03,11000000,75803716
1999-05-03,1350000,28356188
1999-05-11,68000000,60265197
1999-05-11,48000000,151463090
1999-05-11,21000000,36882378
1999-05-14,14000000,14395874
1999-05-19,115000000,1027044677
1999-05-21,15000000,8322608
1999-05-21,375000,617172
1999-05-28,42000000,363728226
1999-05-28,16000000,11810854
1999-05-28,4000000,399793
1999-06-08,68000000,33462011
1999-06-08,48000000,124304264
1999-06-08,40000000,672806292
1999-06-08,10000000,836641
1999-06-16,145000000,448191819
1999-06-18,60000000,149705852
1999-06-18,10700000,31341183
1999-06-18,1750000,22879194
1999-06-25,30000000,228641283
1999-06-30,175000000,221229335
1999-06-30,21000000,52037603
1999-07-05,80000000,416385488
1999-07-14,24000000,16304786
1999-07-14,600000,248300000
1999-07-16,65000000,104267443
1999-07-16,27000000,31770413
1999-07-16,6000000,25059640
1999-07-16,4000000,34145
1999-07-23,80000000,180188905
1999-07-23,75000000,97387965
1999-07-23,10000000,10571408
1999-07-28,60000000,165048228
1999-07-30,70000000,310138178
1999-07-30,500000,1027228
1999-08-01,250000,20628
1999-08-10,64000000,63200000
1999-08-10,14000000,30628981
1999-08-10,10000000,6030047
1999-08-10,2000000,20741000
1999-08-10,700000,10508
1999-08-12,32000000,2899970
1999-08-13,55000000,98699769
1999-08-13,25000000,11115766
1999-08-13,16000000,5825314
1999-08-20,40000000,53864342
1999-08-20,40000000,10717421
1999-08-25,7000000,15471229
1999-08-27,125000000,61698899
1999-08-27,34000000,10672566
1999-08-27,22000000,9818792
1999-08-27,15000000,11614954
1999-08-27,7000000,2165637
1999-08-27,5700000,69582
1999-09-04,6500000,28383441
1999-09-04,1600000,6026908
1999-09-07,21500000,24419219
1999-09-07,12000000,234723148
1999-09-15,15000000,356258047
1999-09-17,50000000,46112640
1999-09-17,36000000,117448157
1999-09-17,12000000,178287
1999-09-17,3500000,9871
1999-09-17,250000,178095
1999-09-24,40000000,177835231
1999-09-24,28700000,4559569
1999-09-24,18000000,229311
1999-09-24,15000000,4956401
1999-10-06,35000000,310332636
1999-10-09,32000000,89441732
1999-10-09,12000000,21133087
1999-10-09,4000000,2793776
1999-10-11,30000000,163644662
1999-10-11,13000000,5871603
1999-10-12,60000000,290701374
1999-10-12,18000000,92935067
1999-10-12,11900000,81897
1999-10-15,65000000,100851897
1999-10-15,50000000,27100030
1999-10-15,10000000,6197866
1999-10-15,7200000,12678312
1999-10-22,32000000,16640210
1999-10-22,21000000,17396
1999-10-22,20000000,10570375
1999-10-22,15000000,1954202
1999-10-22,9000000,34572780
1999-10-22,6500000,10155691
1999-10-22,500000,2047570
1999-10-29,20000000,150350000
1999-10-29,19000000,65090541
1999-10-29,13000000,32382381
1999-10-29,3250000,7680
1999-11-06,10000000,10019109
1999-11-19,135000000,361730660
1999-11-19,90000000,511358276
1999-11-19,70000000,207068340
1999-11-24,100000000,212026975
1999-11-24,35000000,630779
1999-11-24,27000000,4485485
1999-11-24,312000,1788168
1999-12-02,60000000,36850101
1999-12-02,35000000,26613620
1999-12-02,30000000,52880016
1999-12-02,4500000,5428387
1999-12-03,40000000,13508635
1999-12-03,30000000,11578022
1999-12-03,21000000,17760244
1999-12-03,13000000,27151490
1999-12-03,10000000,15164492
1999-12-05,3000000,9017070
1999-12-11,50000000,14271297
1999-12-11,23000000,18653615
1999-12-11,15000000,1970268
1999-12-11,10000000,43948865
1999-12-17,105000000,298815224
1999-12-17,90000000,87420776
1999-12-17,75000000,39251128
1999-12-17,37000000,48446802
1999-12-17,20000000,6201757
1999-12-21,24000000,28871190
1999-12-22,60000000,100230832
1999-12-22,52000000,47407635
1999-12-24,45000000,90523726
1999-12-24,40000000,128792135
1999-12-24,36000000,14378353
1999-12-24,25000000,13038660
1999-12-24,24000000,8427204
1999-12-24,27000,8231
1999-12-29,38000000,73956241
2000-01-01,80000000,60507228
2000-01-03,4000000,9821335
2000-01-09,15000000,12801190
2000-01-09,3000000,4142507
2000-01-12,1000000,1425707
2000-01-14,60000000,14816494
2000-01-14,25000,195043
2000-01-21,9000000,20035310
2000-01-21,7000000,411874
2000-01-28,36000000,2954405
2000-01-28,15000000,18260865
2000-01-28,4000000,185577
2000-02-06,33000000,173559438
2000-02-18,40000000,51867723
2000-02-18,24000000,85527867
2000-02-18,23000000,53182088
2000-02-18,9000000,28773637
2000-02-23,35000000,33422485
2000-02-25,36000000,23360779
2000-03-03,50000000,6291602
2000-03-03,25000000,24355762
2000-03-03,16000000,15980376
2000-03-03,2000000,10672492
2000-03-11,90000000,259736090
2000-03-11,60000000,39235486
2000-03-17,50000000,257805243
2000-03-17,23000000,112036870
2000-03-22,25000000,91036760
2000-03-24,15000000,10845127
2000-03-24,15000000,8735529
2000-03-31,95000000,65700000
2000-03-31,20000000,47881663
2000-03-31,15000000,35007180
2000-04-02,40000000,161838076
2000-04-02,10000000,1638202
2000-04-08,90000000,191200000
2000-04-08,65000000,128874043
2000-04-08,45000000,113916474
2000-04-08,4000000,27786849
2000-04-08,4000000,267972
2000-04-14,43000000,62063972
2000-04-14,29000000,45336404
2000-04-14,8000000,28674417
2000-04-14,3000000,30438635
2000-04-19,3500000,886410
2000-04-21,62000000,127630030
2000-04-21,15000000,27709625
2000-04-21,14000000,12591270
2000-04-21,6000000,10619770
2000-04-28,58000000,59431365
2000-04-28,31000000,68079671
2000-04-28,15000000,40862054
2000-05-04,10000000,5241315
2000-05-05,103000000,457683805
2000-05-05,34000000,14291999
2000-05-05,7000000,18642318
2000-05-05,3300000,5422740
2000-05-05,1300000,609042
2000-05-05,1000000,428535
2000-05-19,127500000,356148063
2000-05-19,18000000,29934477
2000-05-19,16000000,119739110
2000-05-24,120000000,549588516
2000-05-26,55000000,71189835
2000-05-26,2000000,121807
2000-06-10,55000000,304599899
2000-06-10,40000000,19417182
2000-06-10,10000000,2373937
2000-06-10,5000000,16628751
2000-06-10,4500000,7389233
2000-06-16,80000000,9103630
2000-06-16,75000000,36751979
2000-06-16,53012938,107190108
2000-06-16,16000000,21799652
2000-06-16,2500000,1687548
2000-06-21,42000000,227793915
2000-06-23,51000000,149270999
2000-06-23,150000,110719
2000-06-28,110000000,215300000
2000-06-30,120000000,328711434
2000-06-30,76000000,35129610
2000-07-04,60000000,71719931
2000-07-04,24000000,32662299
2000-07-04,24000000,12372410
2000-07-07,65000000,69688384
2000-07-07,19000000,277200000
2000-07-07,1200000,2509344
2000-07-14,75000000,296339717
2000-07-14,250000,1157672
2000-07-19,15000000,5217498
2000-07-21,90000000,288693989
2000-07-21,30000000,133946923
2000-07-21,20000000,18250106
2000-07-26,19000000,15911332
2000-07-28,84000000,166307945
2000-08-09,33000000,47267829
2000-08-09,24000000,27732366
2000-08-09,9000000,13061935
2000-08-09,2500000,9598
2000-08-09,1000000,1179462
2000-08-12,75000000,213500000
2000-08-12,65000000,62761005
2000-08-12,35000000,33771965
2000-08-12,15000000,213514672
2000-08-12,10000000,83593107
2000-08-18,35000000,85911226
2000-08-18,3000000,38236338
2000-08-18,1000000,10037390
2000-08-25,40000000,30199105
2000-08-25,23000000,13019253
2000-08-25,10000000,90453550
2000-08-25,40000,277233
2000-09-06,103300000,232643008
2000-09-06,500000,1167524
2000-09-15,60000000,47371191
2000-09-15,35000000,15471969
2000-09-15,16000000,6615452
2000-09-15,225000,1032075
2000-09-22,15000000,38574362
2000-09-22,12500000,45557491
2000-09-22,8000000,10192613
2000-09-22,1000000,12996
2000-09-27,6000000,20695413
2000-09-29,30000000,136706683
2000-09-29,9000000,3134509
2000-09-29,1000000,2022442
2000-10-03,90000000,106000000
2000-10-03,38000000,58394308
2000-10-03,800000,371647
2000-10-03,300000,2652515
2000-10-11,80000000,58270391
2000-10-11,80000000,33463969
2000-10-11,32000000,82339483
2000-10-11,1200000,10827356
2000-10-13,28000000,31320293
2000-10-13,11000000,13719474
2000-10-13,9000000,17804273
2000-10-13,5000000,109273197
2000-10-13,3000000,39852
2000-10-20,48000000,90376224
2000-10-20,40000000,55696705
2000-10-20,20000000,2282710
2000-10-20,2000000,11546543
2000-10-27,65000000,10014234
2000-10-27,22000000,13555988
2000-10-27,15000000,47721314
2000-10-27,5250000,20097
2000-10-27,42000,342722
2000-10-31,600000,173599
2000-11-02,50000000,39778599
2000-11-02,20000000,96147688
2000-11-02,13000000,62452927
2000-11-02,200000,1161843
2000-11-08,50000000,50054511
2000-11-08,40000000,90717684
2000-11-08,40000000,40435694
2000-11-08,10000000,1953882
2000-11-08,6800000,927107
2000-11-17,123000000,345141403
2000-11-17,82000000,96024898
2000-11-17,35000000,53425292
2000-11-17,30000000,103284813
2000-11-22,85000000,66941559
2000-11-22,73243106,248099143
2000-11-22,13500000,11732088
2000-12-01,9500000,59675307
2000-12-01,7000000,35795319
2000-12-05,80000000,29725663
2000-12-05,18000000,21361109
2000-12-05,12000000,6982680
2000-12-05,8000000,4714090
2000-12-05,2000000,2419669
2000-12-15,100000000,169296573
2000-12-15,65000000,374105123
2000-12-15,25000000,152500343
2000-12-15,13000000,73180297
2000-12-15,6000000,10557291
2000-12-19,43000000,80013623
2000-12-19,10000000,44567606
2000-12-22,85000000,427230516
2000-12-22,80000000,66554547
2000-12-22,60000000,124715863
2000-12-22,45000000,213420951
2000-12-22,45000000,18120267
2000-12-22,28000000,33000377
2000-12-22,26000000,75763814
2000-12-22,10000000,5149131
2000-12-22,4000000,75078
2000-12-27,48000000,208300000
2000-12-29,13000000,1375635
2000-12-29,8000000,8279017
2001-01-06,30000000,38462071
2001-01-06,22000000,55762229
2001-01-19,45000000,29406132
2001-01-26,28000000,94728529
2001-02-02,18500000,4221341
2001-02-02,14000000,10397365
2001-02-02,10000000,20384136
2001-02-03,40000000,145238250
2001-02-03,16000000,43057552
2001-02-03,13500000,892506
2001-02-03,13000000,3058380
2001-02-11,115000000,559757719
2001-02-11,53000000,54207112
2001-02-11,49000000,72689126
2001-02-11,10350000,174201661
2001-02-11,500000,7890
2001-02-16,40000000,65754228
2001-02-16,30000000,71172251
2001-02-16,10000000,44451470
2001-02-23,75000000,5409517
2001-02-23,62000000,18708848
2001-03-08,90000000,347425832
2001-03-08,30000000,165334774
2001-03-08,26000000,16521410
2001-03-16,85000000,96971293
2001-03-16,33000000,79958599
2001-03-16,5000000,39723096
2001-03-16,250000,1366235
2001-03-16,50000,2335352
2001-03-23,38000000,57753825
2001-03-23,25000000,5516708
2001-03-23,6000000,27958191
2001-03-30,35000000,197692062
2001-03-30,23000000,38684906
2001-03-30,18000000,27491653
2001-03-30,11000000,13558739
2001-03-30,2000000,20883834
2001-04-05,98000000,435040395
2001-04-05,2000000,76654
2001-04-07,60000000,200700000
2001-04-07,45000000,141189101
2001-04-13,25000000,281527158
2001-04-20,25000000,39393111
2001-04-20,15000000,14249005
2001-04-27,105000000,10364769
2001-04-27,72000000,54616869
2001-04-27,8000000,19585
2001-04-27,5000000,6755271
2001-05-10,45000000,104505362
2001-05-10,28000000,77477297
2001-05-10,23000000,21973182
2001-05-10,12000000,17292381
2001-05-18,53000000,179209685
2001-05-18,50000000,491812794
2001-05-18,38000000,29544532
2001-05-25,151500000,449239855
2001-06-04,40000000,16172200
2001-06-04,30000000,83282296
2001-06-04,28000000,105159085
2001-06-04,3000000,68452128
2001-06-04,1000000,852206
2001-06-07,25000000,36833473
2001-06-07,10000,94596
2001-06-13,4300000,10158355
2001-06-15,94000000,273330185
2001-06-15,1800000,3050934
2001-06-22,72000000,176101721
2001-06-22,38000000,206512310
2001-06-27,16000000,28734552
2001-06-29,90000000,235900000
2001-06-29,13000000,19929123
2001-06-29,3500000,3293258
2001-07-09,40000000,27053815
2001-07-09,38000000,19317765
2001-07-09,14000000,4288246
2001-07-09,13000000,22391450
2001-07-09,700000,1140965
2001-07-12,85000000,450728529
2001-07-12,6000000,1290920
2001-07-12,1000000,2684207
2001-07-13,68000000,113542091
2001-07-13,18000000,141809235
2001-07-13,5000000,5476060
2001-07-13,2100000,1381824
2001-07-18,93000000,365900000
2001-07-20,46000000,160648493
2001-07-20,12000000,450594
2001-07-20,6000000,3747270
2001-07-20,5500000,8761608
2001-07-27,100000000,362211740
2001-07-27,400000,44452
2001-08-06,90000000,186049020
2001-08-06,80000000,147080413
2001-08-06,80000000,98341932
2001-08-08,3000000,9981635
2001-08-10,15000000,11919578
2001-08-13,48000000,50315140
2001-08-17,57000000,62097495
2001-08-17,48000000,86607223
2001-08-17,35000000,13601109
2001-08-17,6500000,64148
2001-08-22,1000000,113433
2001-08-24,28000000,8434601
2001-08-24,26000000,18496522
2001-08-24,22000000,33762400
2001-08-24,17000000,19693891
2001-08-24,13000000,5002310
2001-08-31,10000000,58939035
2001-08-31,5000000,16017403
2001-08-31,1000000,17127
2001-09-02,87000000,350100280
2001-09-02,22000000,25873142
2001-09-03,42000000,56331864
2001-09-03,12000000,622273
2001-09-03,10000000,19860259
2001-09-03,10000,673780
2001-09-11,40000000,70836296
2001-09-11,35000000,28906817
2001-09-11,100000,1358
2001-09-14,22000000,22861785
2001-09-14,21000000,43728560
2001-09-21,22000000,6047691
2001-09-21,8500000,4273372
2001-09-28,50000000,104488383
2001-09-28,31000000,30885781
2001-09-28,28000000,60780981
2001-09-28,2000000,1075504
2001-10-08,70000000,13596911
2001-10-08,30000000,286500000
2001-10-08,17000000,207765056
2001-10-08,1500000,1619602
2001-10-19,60000000,20541668
2001-10-19,47000000,29781453
2001-10-19,35000000,68712365
2001-10-24,10000000,8378853
2001-10-26,19000000,68467960
2001-10-26,18000000,23889158
2001-10-26,10000000,4690802
2001-10-26,10000000,226792
2001-10-26,4500000,7503672
2001-11-04,22000000,14252830
2001-11-04,16000000,30987695
2001-11-04,7000000,23393939
2001-11-05,41000000,100622586
2001-11-07,137000000,85131830
2001-11-14,4000000,10097096
2001-11-16,125000000,974755371
2001-11-16,6000000,2522928
2001-11-21,90000000,143049560
2001-11-21,35000000,33422806
2001-11-21,11000000,14786394
2001-11-21,1000000,3575308
2001-11-23,1700000,42137871
2001-11-30,40000000,58855732
2001-11-30,38000000,623374
2001-12-01,30000000,17865209
2001-12-01,24000000,29823162
2001-12-01,13000000,122244329
2001-12-10,75000000,71523271
2001-12-10,11000000,25116103
2001-12-14,70000000,202726605
2001-12-14,28000000,71430876
2001-12-14,15000000,62401343
2001-12-14,7000000,4720371
2001-12-14,5500000,15155021
2001-12-19,109000000,887210985
2001-12-21,78000000,317668058
2001-12-21,72000000,37306334
2001-12-21,38000000,24515990
2001-12-21,25000000,102992536
2001-12-21,12000000,31222395
2001-12-25,109000000,87683966
2001-12-25,48000000,70937778
2001-12-25,35000000,24405825
2001-12-26,18000000,41300105
2001-12-26,4000000,43766463
2001-12-28,95000000,159691085
2001-12-28,22000000,92542418
2001-12-31,7500000,10834406
2002-01-02,13000000,8130727
2002-01-02,11000000,4814244
2002-01-02,500000,1250798
2002-01-03,70000000,114658262
2002-01-03,17000000,95092667
2002-01-03,160000,32092
2002-01-11,70000000,60279822
2002-01-11,65000000,172825854
2002-01-18,32000000,116898028
2002-01-25,42000000,56438555
2002-01-25,40000000,75389090
2002-01-25,15000000,1405032
2002-01-25,11000000,46060915
2002-01-25,10000000,17033556
2002-02-08,70702619,408269295
2002-02-08,16000000,40363530
2002-02-08,3000000,19184820
2002-02-08,2000000,3438804
2002-02-15,70000000,33076815
2002-02-15,36000000,102226631
2002-02-15,20000000,109862682
2002-02-15,12000000,57000000
2002-02-15,12000000,2326407
2002-02-15,1200000,23046142
2002-02-19,60000000,82150183
2002-02-22,60000000,30063805
2002-02-22,35000000,30307804
2002-02-22,4500000,92723
2002-02-22,1200000,27025600
2002-02-22,1100000,247740
2002-03-05,139000000,821706375
2002-03-05,16000000,14839383
2002-03-05,10000000,6244618
2002-03-07,140000000,441767803
2002-03-07,30000000,62432423
2002-03-07,25000000,16425701
2002-03-13,1500000,9345061
2002-03-15,85000000,78948765
2002-03-15,65000000,386116343
2002-03-15,35000000,103787401
2002-03-15,5000000,33649881
2002-03-22,54000000,154338601
2002-03-22,12000000,12516222
2002-03-22,1500000,119841
2002-03-29,50000000,8374062
2002-03-29,48000000,196308367
2002-03-29,26000000,38788828
2002-03-29,22000000,80491516
2002-04-01,40000000,7974607
2002-04-10,78000000,206455420
2002-04-10,14000000,25608779
2002-04-10,12000000,4606284
2002-04-19,60000000,165890634
2002-04-19,50000000,56643267
2002-04-19,5000000,374890034
2002-04-19,1500000,12412889
2002-04-26,40000000,14448589
2002-04-26,18000000,676698
2002-04-26,14000000,16951798
2002-04-26,400000,1600566
2002-05-04,45000000,8488871
2002-05-04,42000000,63781100
2002-05-04,6000000,39241323
2002-05-04,6000000,4316497
2002-05-16,115000000,656695615
2002-05-17,27000000,130759651
2002-05-17,5500000,56653
2002-05-17,1500000,1840248
2002-05-22,15000000,8378141
2002-05-24,80000000,106515310
2002-05-24,46000000,113622499
2002-05-24,38000000,50970660
2002-05-24,3000000,3705923
2002-05-29,2100000,313436
2002-05-31,68000000,193500000
2002-05-31,25000000,40796145
2002-06-09,40000000,22433915
2002-06-09,10000000,34364995
2002-06-11,35000000,16830252
2002-06-12,60000000,54994757
2002-06-12,20000000,5345869
2002-06-12,18500000,32531759
2002-06-12,3500000,18495444
2002-06-14,115000000,77628265
2002-06-14,84000000,276294164
2002-06-14,60000000,214357371
2002-06-14,12000000,1779284
2002-06-21,102000000,358824714
2002-06-21,80000000,245800000
2002-06-21,15600000,13771817
2002-06-21,5600000,3281898
2002-06-28,50000000,171269535
2002-06-28,10000000,13684949
2002-06-28,250000,4613482
2002-07-06,70000000,69157016
2002-07-06,27000000,73826768
2002-07-08,38000000,119721296
2002-07-08,8000000,16585503
2002-07-17,30000000,36722311
2002-07-19,120000000,166000000
2002-07-19,90000000,65716126
2002-07-19,300000,2066892
2002-07-19,150000,3270128
2002-07-25,63000000,292738626
2002-07-26,20000000,16988996
2002-08-02,85000000,78353508
2002-08-02,70000000,25852508
2002-08-02,15000000,52461017
2002-08-03,80000000,98983590
2002-08-03,14000000,25873145
2002-08-03,7500000,4239767
2002-08-05,50000000,119114494
2002-08-11,41000000,245768384
2002-08-11,13500000,29027914
2002-08-16,100000000,7094995
2002-08-16,30000000,51618420
2002-08-16,25000000,14805812
2002-08-21,12000000,52223306
2002-08-23,29000000,20146150
2002-08-23,20000000,12398628
2002-08-30,40000000,13208023
2002-09-08,70000000,267200000
2002-09-08,50000000,26199517
2002-09-08,800000,881950
2002-09-13,25000000,13973532
2002-09-13,12000000,77063461
2002-09-13,9000000,4777465
2002-09-13,7500000,206400
2002-09-20,70000000,14294842
2002-09-20,55000000,1807990
2002-09-20,35000000,29882645
2002-09-20,30000000,6916869
2002-09-20,19000000,274949886
2002-09-20,10000000,38067218
2002-09-20,8000000,42376425
2002-09-20,4000000,9413956
2002-09-27,60000000,104429625
2002-09-27,38000000,182365114
2002-09-27,21000000,6830957
2002-09-27,15300000,7000000
2002-09-27,950000,814666
2002-10-05,13000000,28972187
2002-10-05,200000,174682
2002-10-05,200000,162605
2002-10-18,48000000,248218486
2002-10-18,27000000,5204007
2002-10-18,25000000,12219367
2002-10-18,7000000,2703821
2002-10-18,3000000,7777790
2002-10-25,20000000,68349884
2002-10-25,15000000,22723
2002-10-25,12000000,56131239
2002-10-25,9000000,184255
