Release_Date,Production_Budget,Worldwide_Gross
1977-11-16,20000000,337700000
1977-12-23,3400000,31063038
1978-01-01,14000000,1000000
1978-01-01,12000000,19000000
1978-01-01,3000000,32653000
1978-04-13,11000000,20388920
1978-06-16,20000000,208900376
1978-06-16,6000000,387513770
1978-06-28,15000000,98800000
1978-07-28,3000000,141600000
1978-09-13,3000000,3660880
1978-10-17,325000,70000000
1978-10-24,24000000,13000000
1978-12-15,55000000,300200000
1978-12-22,5000000,7100000
1979-01-01,15000000,50000000
1979-02-02,6000000,391942
1979-04-20,1500000,55000000
1979-05-25,12500000,7000000
1979-05-25,9000000,203630630
1979-06-15,12000000,22673340
1979-06-22,8000000,76657000
1979-06-22,8000000,43000000
1979-06-29,31000000,210300000
1979-06-30,170000,14000
1979-07-11,8500000,29200000
1979-07-12,35000000,139000000
1979-08-15,31500000,81250488
1979-08-17,4000000,20008693
1979-10-17,2700000,37799643
1979-10-19,16000000,8400000
1979-12-14,32000000,94875000
1979-12-21,20000000,35841901
1980-01-01,35000000,1500000
1980-01-01,6500000,31899000
1980-01-01,3500000,8000000
1980-01-01,350000,10000000
1980-01-02,1000000,21378361
1980-01-08,40000000,7000000
1980-03-10,5100000,9709597
1980-03-10,5000000,26010864
1980-03-21,200000,99750000
1980-04-07,3500000,83453539
1980-05-12,35000000,27107960
1980-05-16,10000000,15198912
1980-05-16,400000,89134
1980-05-21,23000000,534171960
1980-05-23,19000000,44391156
1980-06-06,5500000,4865000
1980-06-13,22000000,15716828
1980-06-20,27000000,57229890
1980-06-20,20000000,2000000
1980-06-20,4500000,47923795
1980-07-03,15000000,67182787
1980-07-25,6000000,39846344
1980-09-05,550000,59754601
1980-09-19,6000000,52302978
1980-10-05,100000,287000
1980-10-10,15000000,69847348
1980-11-14,18000000,23380203
1980-11-19,44000000,3484523
1980-12-12,20000000,49823037
1981-01-01,17000000,2110050
1981-01-05,250000,23894000
1981-03-20,12000000,44200000
1981-04-12,33500000,50000000
1981-04-30,1250000,21722776
1981-05-22,18000000,13400000
1981-05-22,6500000,42488161
1981-06-11,12000000,37400000
1981-06-19,54000000,108185706
1981-06-26,28000000,195300000
1981-06-26,18000000,6000000
1981-06-26,10000000,85300000
1981-07-08,9300000,19571091
1981-07-24,18000000,13747234
1981-07-31,20000000,18826490
1981-08-28,3000000,5732587
1981-09-12,14000000,35856053
1981-09-18,5000000,25032000
1981-09-25,5500000,57467731
1981-10-04,5000000,19600000
1981-10-04,1000000,17985000
1981-10-07,6000000,25244700
1981-10-30,2500000,25533818
1981-11-02,10000000,11400000
1981-11-13,12000000,2104164
1981-12-06,20000000,389925971
1981-12-06,15000000,44400000
1981-12-06,11000000,31672000
1981-12-18,10000000,6000000
1981-12-25,8000000,24474312
1982-01-29,13500000,6118683
1982-02-04,12500000,21000000
1982-02-04,5000000,12592907
1982-03-11,5000000,20659423
1982-03-19,4000000,109492484
1982-04-06,12000000,95800000
1982-04-06,10700000,121706019
1982-05-14,20000000,79114085
1982-05-21,2000000,24600832
1982-06-18,21000000,45785720
1982-06-25,28000000,33139618
1982-06-25,18000000,5675599
1982-07-23,20500000,69701637
1982-08-12,22000000,127767889
1982-08-12,16000000,53977250
1982-08-13,4500000,27092880
1982-08-13,2250000,36690067
1982-08-20,5000000,10751126
1982-08-20,3250000,6965361
1982-08-27,5000000,3707583
1982-09-07,17000000,26918576
1982-09-17,46000000,4408636
1982-10-02,12000000,84970337
1982-10-11,8000000,20036244
1982-10-22,14000000,125212904
1982-10-22,2500000,14400000
1982-11-06,10500000,792965326
1982-11-19,1200000,255000
1982-12-02,12500000,20959585
1982-12-17,15000000,177200000
1983-01-01,400000,126387
1983-02-18,10100000,10143618
1983-03-06,12000000,74433837
1983-03-25,10000000,25697647
1983-04-02,5952000,2120439
1983-04-15,7000000,201463574
1983-04-15,5000000,12232628
1983-04-15,375000,29400000
1983-05-25,32500000,572705079
1983-06-17,39000000,59950623
1983-06-24,10000000,29500000
1983-07-10,36000000,160000000
1983-07-29,15000000,61400000
1983-08-04,7000000,1246141
1983-08-19,1305000,909000
1983-09-12,25000000,44942821
1983-09-30,15000000,8921050
1983-10-06,27500000,187500000
1983-10-21,27000000,21500000
1983-10-21,10000000,20766000
1983-10-28,8000000,589308
1983-11-18,12000000,39012241
1983-11-18,3250000,20605209
1984-01-06,30000000,5564014
1984-01-06,18000000,87000000
1984-02-03,1500000,2300000
1984-02-17,8200000,80000000
1984-03-16,9000000,13075390
1984-03-23,4500000,81198894
1984-04-13,2600000,32980880
1984-04-27,550000,5269990
1984-05-12,15000000,316300000
1984-05-23,28000000,333080271
1984-06-22,8000000,90815558
1984-06-29,18000000,26400000
1984-07-20,27000000,21300000
1984-08-06,30000000,295212467
1984-08-06,11000000,148168459
1984-08-17,25000000,5778353
1984-08-31,1250000,4700000
1984-09-03,8000000,62599495
1984-09-03,7500000,5142858
1984-09-11,1800000,25504513
1984-09-19,18000000,51973029
1984-10-26,10000000,8801940
1984-10-26,6400000,78019031
1984-11-05,15000000,15136870
1984-12-14,48000000,25928721
1984-12-14,45000000,27447471
1984-12-14,27500000,27187653
1985-01-11,3000000,21163999
1985-01-18,1500000,2730877
1985-03-07,19000000,385524862
1985-03-15,1300000,210904
1985-03-22,10000000,33000000
1985-03-22,2200000,21930418
1985-04-10,10000000,35073978
1985-04-12,18000000,19739000
1985-05-22,44000000,300400000
1985-05-24,30000000,152627960
1985-06-11,2000000,1663296
1985-06-21,27000000,10618813
1985-06-21,25000000,11603545
1985-06-28,17900000,6905861
1985-06-28,6900000,41410568
1985-06-30,3500000,34004262
1985-08-02,12000000,65532576
1985-08-16,4000000,14237880
1985-09-27,10000000,17536256
1985-10-07,26000000,33200000
1985-10-07,10000000,36230219
1985-10-25,3000000,11052713
1985-11-10,7000000,10803211
1985-12-04,20000000,18400000
1985-12-18,31000000,258210860
1985-12-18,15000000,93589701
1985-12-18,15000000,9930649
1986-01-07,40000000,6341825
1986-01-07,25000000,11100000
1986-01-08,30000000,16295774
1986-01-08,3000000,19472057
1986-01-17,15000000,1953732
1986-02-21,18000000,6734844
1986-03-10,35000000,2000000
1986-03-27,5000000,12947763
1986-04-18,25000000,23506237
1986-04-23,4500000,1500000
1986-04-25,18000000,1305114
1986-05-16,15000000,356800601
1986-06-06,12000000,4984663
1986-06-18,40000000,49851591
1986-07-03,16000000,12900000
1986-07-03,3000000,20966644
1986-07-18,17000000,183316455
1986-08-08,8000000,52287414
1986-08-08,175000,7137502
1986-08-22,4700000,8025872
1986-08-29,17000000,2315000
1986-09-26,8800000,328203506
1986-10-10,18000000,41382841
1986-10-17,10000000,52293000
1986-11-26,24000000,133000000
1986-12-12,12000000,79817937
1986-12-19,30000000,38747385
1986-12-19,6000000,137963328
1986-12-31,2000000,7369373
1987-01-01,2600000,3147950
1987-01-01,350000,4000000
1987-01-03,100000,5228617
1987-01-05,10000000,3000000
1987-01-05,3500000,14000000
1987-01-30,16000000,14792779
1987-02-27,5000000,44793222
1987-03-06,25000000,76270454
1987-03-13,3500000,5923044
1987-03-31,4000000,800000
1987-04-09,1100000,1355728
1987-05-15,40000000,14375181
1987-05-20,20000000,276665036
1987-06-03,15000000,120192350
1987-06-11,29000000,25899797
1987-06-24,22700000,38119483
1987-07-17,23000000,15728335
1987-07-17,13000000,53424681
1987-07-24,17000000,11227824
1987-07-24,6500000,54215416
1987-07-31,40000000,191200000
1987-07-31,8500000,32222567
1987-08-05,1900000,4600000
1987-09-18,14000000,320100000
1987-09-18,1000000,14564000
1987-09-25,15000000,30857000
1987-11-12,16500000,43848100
1987-11-13,30000000,38122000
1987-11-20,25000000,43988888
1987-11-20,3000000,7888000
1987-11-25,15000000,167780960
1987-12-06,18000000,98267558
